timestamp,open,high,low,close
1622937600,2629.885236,undefined,undefined,undefined
1622851200,2690.896728,2816.017683,2557.13896,2628.077231
1622764800,2856.057688,2856.057688,2558.291708,2685.987783
1622678400,2706.64,2889.220875,2667.053463,2852.803506
1622592000,2643.82,2802.102103,2559.49,2706.134441
1622591820,2633.74,undefined,undefined,undefined
1622505600,2726.78,2735.17,2530.89,2624.88
1622505480,2693.13,undefined,undefined,undefined
1622419200,2373.63,2713.94,2284.51,2698.91
1622419080,2392.82,undefined,undefined,undefined
1622332800,2284.03,2466.51,2190.48,2390.29
1622332740,2283.55,undefined,undefined,undefined
1622246400,2406.28,2564.12,2210,2278.44
1622246340,2408.55,undefined,undefined,undefined
1622160000,2730.02,2756.99,2340.27,2419.54
1622073600,2873.66,2877.301571,2642.11,2736.78
1622073540,2889.84,undefined,undefined,undefined
1621987200,2704.02,2910.16,2651.23,2884.06
1621987140,2707.56,undefined,undefined,undefined
1621900800,2635.6,2750.629287,2394.48,2697.21017
1621814400,2115.75,2665.32,2085.95,2646.53
1621814340,2107.812867,undefined,undefined,undefined
1621728000,2289.32,2381.442497,1736.83362,2113.153161
1621641600,2441.27,2483.825547,2166.67,2294.348712
1621555200,2774.514776,2939.006205,2105.59,2431.618517
1621468800,2442.614147,2998.48,2170.72,2787.79351
1621382400,3386.312493,3441.523802,1955.711641,2461.237054
1621296000,3283.29,3565.199168,3245.651855,3379.649948
1621209600,3588.29,3588.29,3121.499828,3285.072792
1621123200,3627.19,3877.02,3354.66,3587.39
1621123140,3642.28,undefined,undefined,undefined
1621036800,4094.99,4130.56,3642.02,3647.6
1621036740,4083.78,undefined,undefined,undefined
1620950400,3708.95,4174.59,3701.258493,4079.28
1620950340,3715.01,undefined,undefined,undefined
1620864000,3825,4044.97,3550.14,3720.19
1620777600,4172.33,4374.321476,3761.12,3761.12
1620691200,3946.96,4182.19,3786.023217,4173.497971
1620604800,3922.96,4204.54,3713.92,3951.440617
1620604740,3933.130758,undefined,undefined,undefined
1620518400,3917.235249,3980.885629,3738.765675,3934.956143
1620432000,3484.200223,3955.994901,3455.325603,3908.670124
1620345600,3492.459978,3591.635184,3369.305743,3488.241248
1620259200,3529.070382,3602.107328,3390.11,3492.588089
1620172800,3240.640745,3548.294447,3210.242921,3528.53
1620086400,3432.945037,3528.520464,3174.799303,3252.318911
1620000000,2951.68638,3453.645618,2951.68638,3432.64
1619913600,2948.92,2985.22,2860.3,2952.99
1619913540,2948.209767,undefined,undefined,undefined
1619827200,2776.443892,2954.9,2759.5,2949.873122
1619740800,2758.439059,2797.737449,2728.184071,2775.736161
1619654400,2750.261825,2800,2673.23614,2758.84
1619568000,2667.862172,2760.958125,2565.208443,2749.038477
1619481600,2534,2680.193671,2485.76,2666.57355
1619395200,2318.42,2538.65,2306.43,2538.65
1619395080,2322.16,undefined,undefined,undefined
1619308800,2231,2357.68,2172.33,2317.41
1619308740,2216.15,undefined,undefined,undefined
1619222400,2357.94,2357.94,2167.31,2213.8
1619222340,2366.24,undefined,undefined,undefined
1619136000,2414.92,2436.85,2115.91,2371.15
1619049600,2370.46,2642.74,2316.47,2402.23
1618963200,2343.28,2469.01,2238.41,2366.531948
1618963140,2332.6,undefined,undefined,undefined
1618876800,2170.81,2348,2056.17,2328.6
1618876740,2163.82,undefined,undefined,undefined
1618790400,2250.23,2281.27049,2081.441337,2168.964304
1618790340,2242.714992,undefined,undefined,undefined
1618704000,2326.18,2340.135861,1982.879807,2240.94
1618703940,2317.039681,undefined,undefined,undefined
1618617600,2421.89177,2495.388758,2317.976349,2318.481351
1618531200,2516.645382,2545.796585,2319.745053,2427.1
1618444800,2431.995543,2544.990099,2403.759896,2517.942506
1618358400,2301.245808,2446.202223,2283.531198,2431.394538
1618272000,2138.345296,2315.97525,2136.830775,2298.849495
1618185600,2150.54,2198.947037,2106.246001,2138.499081
1618185420,2150.41,undefined,undefined,undefined
1618099200,2132.08,2161.9,2113.15,2149.18
1618099140,2133.72,undefined,undefined,undefined
1618012800,2066.74,2194.35,2058.44,2132.99
1617926400,2079.055338,2099.9,2051.06,2067.34
1617926340,2081.29,undefined,undefined,undefined
1617840000,1967.5,2084.26,1953.42,2078.586153
1617839940,1964.23,undefined,undefined,undefined
1617753600,2113,2128.05,1938.31,1968.69
1617667200,2115.97,2150.986062,2049.41,2113
1617667140,2105.82,undefined,undefined,undefined
1617580800,2078.46,2127.917335,2005.444543,2102.98
1617580740,2076.98,undefined,undefined,undefined
1617494400,2008.932841,2092.482166,1982.724594,2077.531947
1617408000,2134.34746,2137.304722,2005.865778,2011.269188
1617321600,1968.130136,2143.490975,1950.862559,2135.380162
1617235200,1919.717434,1981.120081,1889.856876,1968.153594
1617148800,1841.606753,1947.548388,1775.070573,1915.512911
1617062400,1822.18,1859.220871,1787.281673,1841.079788
1616976000,1684.07,1838.875527,1676.5,1816.975842
1616975940,1687.19,undefined,undefined,undefined
1616889600,1713.88,1724.2,1662.13,1685.19
1616803200,1700.1,1729.79,1669.49,1713.88
1616716800,1587.08,1700.33,1587.08,1700.33
1616630400,1581.79,1621.18,1549.94,1588.52
1616630340,1584.58,undefined,undefined,undefined
1616544000,1672.54,1738.04,1555.39,1584.77
1616543940,1671.9,undefined,undefined,undefined
